縣市,鄉鎮市區,門市店名,門市店號,地址,緯度,經度
臺北市,文山區,景運門市,11684,臺北市文山區景中街3號,24.993129,121.5415347
臺北市,文山區,萬芳門市,11695,臺北市文山區興隆路三段88號,24.9995993,121.5567291
新北市,板橋區,莒光門市,22041,新北市板橋區文化路二段76之2號,25.025073,121.469504
新北市,板橋區,新城門市,22041,新北市板橋區新站路28號B1(遠東百貨),25.013678,121.466442
新北市,板橋區,板高門市,22041,新北市板橋區縣民大道2段7號B1,25.0143985,121.4634922
新北市,板橋區,橋站門市,22041,新北市板橋區縣民大道2段7號B1(環球板橋店),25.01449,121.46384
新北市,板橋區,大翠運門市,22043,新北市板橋區雙十路二段142號,25.0292623,121.4735839
新北市,板橋區,民治門市,22045,新北市板橋區民治街125號1樓,25.0308562,121.4780867
新北市,板橋區,雙十門市,22046,新北市板橋區雙十路三段28號1樓,25.030964,121.471335
新北市,板橋區,埔運門市,22047,新北市板橋區文化路一段391號,25.0219689,121.467058
新北市,板橋區,新海門市,22051,新北市板橋區新海路94.96號,25.0248193,121.4597107
新北市,板橋區,亞東門市,22060,新北市板橋區南雅南路二段128號1、B1樓,24.9969807,121.4519363
新北市,板橋區,華德門市,22061,新北市板橋區四川路二段47巷1弄1號1樓,24.9950707,121.4541518
新北市,板橋區,慶達門市,22062,新北市板橋區國慶路147號,24.9961531,121.4613356
新北市,板橋區,板站門市,22063,新北市板橋區中山路一段13號1、2樓,25.0081596,121.4599648
新北市,板橋區,新遠板門市,22065,新北市板橋區中山路一段152號B1(295),25.0109601,121.4644536
新北市,汐止區,汐止門市,22147,新北市汐止區樟樹一路１３２號１樓,25.0645998,121.6422389
新北市,汐止區,北峰門市,22150,新北市汐止區福德一路262號1樓,25.0644669,121.6330044
新北市,汐止區,汐康門市,22157,新北市汐止區康寧街457號,25.0684569,121.6314963
新北市,汐止區,汐站門市,22165,新北市汐止區忠孝東路265號,25.0679845,121.6632423
新北市,汐止區,汐台門市,22167,新北市汐止區連興街22之1號 1-3樓,25.063749,121.655602
新北市,汐止區,汐成門市,22174,新北市汐止區建成路80號1、2樓,25.0732936,121.6627847
新北市,新店區,北新門市,23141,新北市新店區民權路39號1樓,24.982651,121.54057
新北市,新店區,新大坪門市,23141,新北市新店區民權路17號1號,24.98271,121.542106
新北市,新店區,新七張門市,23143,新北市新店區北新路二段101號,24.9744357,121.5426904
新北市,新店區,新興門市,23146,新北市新店區中正路31號,24.9695098,121.5450861
新北市,新店區,德運門市,23147,新北市新店區北新路一段307號,24.96784,121.541278
新北市,新店區,美新門市,23148,新北市新店區中正路213號,24.9728049,121.5397311
新北市,新店區,福民門市,23150,新北市新店區中央路147號1樓,24.973328,121.530176
新北市,永和區,永百門市,23444,新北市永和區中山路一段222、224號1、2樓,25.0082638,121.5081987
新北市,永和區,頂溪門市,23444,新北市永和區永和路二段243號.243-1號1樓.2樓,25.014831,121.5155562
新北市,永和區,頂運門市,23445,新北市永和區永和路二段116號,25.0119939,121.5151491
新北市,永和區,永和門市,23448,新北市永和區竹林路243號1樓.2樓;福和路174號1樓.2樓,25.0079608,121.5209473
新北市,永和區,得和門市,23453,新北市永和區得和路376號1樓,24.9992784,121.5246159
新北市,永和區,永鑽門市,23454,新北市永和區中正路338號1+2樓.得和路100號1+2樓.得和路102號1+2樓,25.0000702,121.5180036
新北市,中和區,新頂旺門市,23546,新北市中和區中山路三段122號（環球購物中心B1）,25.0071689,121.4748058
新北市,中和區,員山門市,23552,新北市中和區員山路325-3號1、2樓,25.0009245,121.4811328
新北市,中和區,新和運門市,23565,新北市中和區興南路一段55號之1,24.9901818,121.5107802
新北市,中和區,景新門市,23569,新北市中和區景新街440號,24.9881616,121.5131532
新北市,中和區,永安門市,23574,新北市中和區中和路362號1.2樓,25.0018098,121.5105202
新北市,中和區,永興門市,23575,新北市中和區中和路412號1+2樓,25.0030372,121.5114986
新北市,中和區,景和門市,23576,新北市中和區景安路162號一樓,24.9929304,121.5046764
新北市,中和區,景安門市,23582,新北市中和區景平路506、508號1樓,24.9938275,121.5039459
新北市,土城區,延安門市,23641,新北市土城區延吉街259號,24.9846991,121.4672794
新北市,土城區,新海山門市,23663,新北市土城區裕民路86、88號1-2樓,24.986958,121.450044
新北市,土城區,城美門市,23669,新北市土城區中央路二段181、183號1樓,24.975897,121.442229
新北市,土城區,永寧門市,23673,新北市土城區中央路三段108、110號,24.966526,121.435354
新北市,三峽區,北大門市,23741,新北市三峽區大學路152號.154號,24.9451113,121.3738399
新北市,三峽區,長峽門市,23741,新北市三峽區民生街106號1、2樓,24.935463,121.3736131
新北市,樹林區,樹運門市,23845,新北市樹林區博愛一街37號1樓,24.9909868,121.4259943
新北市,樹林區,樹站門市,23848,新北市樹林區後站街10號,24.9915246,121.4239295
新北市,樹林區,樹華門市,23860,新北市樹林區中華路130號1、2樓,24.980426,121.41716
新北市,鶯歌區,新鶯歌門市,23941,新北市鶯歌區建國路226、228號1+2樓,24.9516926,121.3427226
新北市,三重區,天台門市,24142,新北市三重區重新路2段78號1樓,25.0618238,121.4973065
新北市,三重區,菜寮門市,24143,新北市三重區重新路3段146、148號1樓,25.059502,121.491516
新北市,三重區,集美門市,24144,新北市三重區集美街204號,25.054038,121.491012
新北市,三重區,台北橋門市,24147,新北市三重區重新路2段5號1.2樓,25.062816,121.499078
新北市,三重區,長壽門市,24149,新北市三重區三和路二段75號1樓,25.0682005,121.499993
新北市,三重區,龍門門市,24149,新北市三重區仁愛街39、41號1+2樓,25.071656,121.476777
新北市,三重區,五華門市,24151,新北市三重區五華街126號,25.083335,121.4917547
新北市,三重區,三和門市,24152,新北市三重區三和路四段109號,25.077518,121.487339
新北市,三重區,溪尾門市,24155,新北市三重區溪尾街125號之A.之D,25.0797482,121.4895488
新北市,三重區,湯城門市,24159,新北市三重區重新路5段609巷10之5號,25.046589,121.468192
新北市,新莊區,新新莊門市,24243,新北市新莊區中正路164號1樓,25.0360173,121.4511569
新北市,新莊區,康莊門市,24249,新北市新莊區中平路301號1樓,25.0514281,121.4445656
新北市,新莊區,幸福門市,24249,新北市新莊區幸福路762號1、2樓,25.0491992,121.4472172
新北市,新莊區,昌平門市,24251,新北市新莊區中原路139號1&2樓,25.054103,121.454486
新北市,新莊區,福壽門市,24251,新北市新莊區福壽街88號1+2樓,25.049818,121.458442
新北市,新莊區,民安門市,24258,新北市新莊區民安路151號1、2樓,25.0214579,121.4277256
新北市,新莊區,西盛門市,24264,新北市新莊區民安西路135號一樓,25.0172422,121.426522
新北市,泰山區,新十八甲門市,24341,新北市泰山區全興路157號.159號.161號,25.0562773,121.4340941
新北市,林口區,新麗林門市,24443,新北市林口區竹林路46號一樓、二樓,25.0774318,121.387173
新北市,林口區,林口門市,24448,新北市林口區文化三路一段327 329號,25.0723754,121.3642844
新北市,林口區,未來門市,24449,新北市林口區仁愛路二段516號1樓,25.0777629,121.3736248
新北市,蘆洲區,義民門市,24741,新北市蘆洲區民族路126、128號1、2樓,25.085546,121.4790479
新北市,蘆洲區,三民門市,24744,新北市蘆洲區復興路76、78號,25.0865355,121.4751487
新北市,蘆洲區,蘆安門市,24763,新北市蘆洲區長安街123號,25.0812423,121.4609716
新北市,蘆洲區,長榮門市,24765,新北市蘆洲區長榮路418號1、2樓,25.0881905,121.4595578
新北市,五股區,五股門市,24870,新北市五股區成泰路二段 71、73號,25.08376,121.4379871
新北市,淡水區,淡大門市,25148,新北市淡水區北新路182巷5弄48號,25.1772878,121.4490527
新北市,淡水區,淡水門市,25158,新北市淡水區中正路131號,25.1703365,121.4393243
